territory,year,population,type,capacity,score
Sardegna,2022,adulti,servizi,accedere_risorse,-0.362
Sicilia,2022,adulti,servizi,accedere_risorse,-0.621
Toscana,2022,adulti,servizi,accedere_risorse,-0.177
Trentino-Alto Adige/Südtirol,2022,adulti,servizi,accedere_risorse,3.104
Umbria,2022,adulti,servizi,accedere_risorse,-0.29
Valle d'Aosta/Vallée d'Aoste,2022,adulti,servizi,accedere_risorse,-0.555
Veneto,2022,adulti,servizi,accedere_risorse,0.192
Abruzzo,2022,adulti,servizi,conoscenza_sapere,1.294
Basilicata,2022,adulti,servizi,conoscenza_sapere,1.274
Calabria,2022,adulti,servizi,conoscenza_sapere,-1.446
Campania,2022,adulti,servizi,conoscenza_sapere,-0.998
Emilia-Romagna,2022,adulti,servizi,conoscenza_sapere,0.25
Friuli-Venezia Giulia,2022,adulti,servizi,conoscenza_sapere,0.489
Lazio,2022,adulti,servizi,conoscenza_sapere,0.716
Liguria,2022,adulti,servizi,conoscenza_sapere,0.82
Lombardia,2022,adulti,servizi,conoscenza_sapere,-1.114
Marche,2022,adulti,servizi,conoscenza_sapere,-0.467
Molise,2022,adulti,servizi,conoscenza_sapere,0.715
Piemonte,2022,adulti,servizi,conoscenza_sapere,-0.569
Puglia,2022,adulti,servizi,conoscenza_sapere,-0.642
Sardegna,2022,adulti,servizi,conoscenza_sapere,0.56
Sicilia,2022,adulti,servizi,conoscenza_sapere,-2.171
Toscana,2022,adulti,servizi,conoscenza_sapere,1.257
Trentino-Alto Adige/Südtirol,2022,adulti,servizi,conoscenza_sapere,0.099
Umbria,2022,adulti,servizi,conoscenza_sapere,0.873
Valle d'Aosta/Vallée d'Aoste,2022,adulti,servizi,conoscenza_sapere,-1.365
Veneto,2022,adulti,servizi,conoscenza_sapere,0.425
Abruzzo,2022,adulti,servizi,cura,-0.232
Basilicata,2022,adulti,servizi,cura,0.176
Calabria,2022,adulti,servizi,cura,-0.848
Campania,2022,adulti,servizi,cura,-0.765
Emilia-Romagna,2022,adulti,servizi,cura,1.771
Friuli-Venezia Giulia,2022,adulti,servizi,cura,-0.371
Lazio,2022,adulti,servizi,cura,-0.223
Liguria,2022,adulti,servizi,cura,0.033
Lombardia,2022,adulti,servizi,cura,0.067
Marche,2022,adulti,servizi,cura,-0.506
Molise,2022,adulti,servizi,cura,-0.419
Piemonte,2022,adulti,servizi,cura,0.154
Puglia,2022,adulti,servizi,cura,-0.053
Sardegna,2022,adulti,servizi,cura,0.514
Sicilia,2022,adulti,servizi,cura,-0.274
Toscana,2022,adulti,servizi,cura,-0.072
Trentino-Alto Adige/Südtirol,2022,adulti,servizi,cura,-0.006
Umbria,2022,adulti,servizi,cura,0.131
Valle d'Aosta/Vallée d'Aoste,2022,adulti,servizi,cura,0.529
Veneto,2022,adulti,servizi,cura,0.394
Abruzzo,2022,adulti,servizi,lavorare,-0.701
Basilicata,2022,adulti,servizi,lavorare,-0.801
Calabria,2022,adulti,servizi,lavorare,-0.905
Campania,2022,adulti,servizi,lavorare,-0.881
Emilia-Romagna,2022,adulti,servizi,lavorare,1.195
Friuli-Venezia Giulia,2022,adulti,servizi,lavorare,0.35
Lazio,2022,adulti,servizi,lavorare,-0.675
Liguria,2022,adulti,servizi,lavorare,0.014
Lombardia,2022,adulti,servizi,lavorare,0.314
Marche,2022,adulti,servizi,lavorare,-0.728
Molise,2022,adulti,servizi,lavorare,-0.638
Piemonte,2022,adulti,servizi,lavorare,2.584
Puglia,2022,adulti,servizi,lavorare,-0.03
Sardegna,2022,adulti,servizi,lavorare,0.046
Sicilia,2022,adulti,servizi,lavorare,-0.544
Toscana,2022,adulti,servizi,lavorare,0.115
Trentino-Alto Adige/Südtirol,2022,adulti,servizi,lavorare,-0.384
Umbria,2022,adulti,servizi,lavorare,-0.712
Valle d'Aosta/Vallée d'Aoste,2022,adulti,servizi,lavorare,0.0
Veneto,2022,adulti,servizi,lavorare,2.382
Abruzzo,2022,adulti,servizi,vita_sana,-0.121
Basilicata,2022,adulti,servizi,vita_sana,-0.31
Calabria,2022,adulti,servizi,vita_sana,-1.257
Campania,2022,adulti,servizi,vita_sana,-1.195
Emilia-Romagna,2022,adulti,servizi,vita_sana,-0.015
Friuli-Venezia Giulia,2022,adulti,servizi,vita_sana,-0.236
Lazio,2022,adulti,servizi,vita_sana,-0.53
Liguria,2022,adulti,servizi,vita_sana,1.203
Lombardia,2022,adulti,servizi,vita_sana,-0.121
Marche,2022,adulti,servizi,vita_sana,0.728
Molise,2022,adulti,servizi,vita_sana,0.194
Piemonte,2022,adulti,servizi,vita_sana,0.352
Puglia,2022,adulti,servizi,vita_sana,-0.363
Sardegna,2022,adulti,servizi,vita_sana,-0.261
Sicilia,2022,adulti,servizi,vita_sana,-0.769
Toscana,2022,adulti,servizi,vita_sana,0.363
Trentino-Alto Adige/Südtirol,2022,adulti,servizi,vita_sana,0.083
Umbria,2022,adulti,servizi,vita_sana,0.467
Valle d'Aosta/Vallée d'Aoste,2022,adulti,servizi,vita_sana,1.223
Veneto,2022,adulti,servizi,vita_sana,0.564
Abruzzo,2022,adulti,servizi,vita_sicura,-0.113
Basilicata,2022,adulti,servizi,vita_sicura,-0.551
Calabria,2022,adulti,servizi,vita_sicura,-0.587
Campania,2022,adulti,servizi,vita_sicura,-0.861
Emilia-Romagna,2022,adulti,servizi,vita_sicura,1.107
Friuli-Venezia Giulia,2022,adulti,servizi,vita_sicura,0.88
Lazio,2022,adulti,servizi,vita_sicura,-1.032
Liguria,2022,adulti,servizi,vita_sicura,-0.208
Lombardia,2022,adulti,servizi,vita_sicura,-0.09
Marche,2022,adulti,servizi,vita_sicura,0.716
Molise,2022,adulti,servizi,vita_sicura,-0.056
Piemonte,2022,adulti,servizi,vita_sicura,-0.746
Puglia,2022,adulti,servizi,vita_sicura,-0.23
Sardegna,2022,adulti,servizi,vita_sicura,0.482
Sicilia,2022,adulti,servizi,vita_sicura,-0.943
Toscana,2022,adulti,servizi,vita_sicura,0.045
Trentino-Alto Adige/Südtirol,2022,adulti,servizi,vita_sicura,0.334
Umbria,2022,adulti,servizi,vita_sicura,1.167
Valle d'Aosta/Vallée d'Aoste,2022,adulti,servizi,vita_sicura,0.603
Veneto,2022,adulti,servizi,vita_sicura,0.083
Abruzzo,2022,bambini,servizi,cura,-0.389
Basilicata,2022,bambini,servizi,cura,0.051
Calabria,2022,bambini,servizi,cura,-0.624
Campania,2022,bambini,servizi,cura,-0.766
Emilia-Romagna,2022,bambini,servizi,cura,0.837
Friuli-Venezia Giulia,2022,bambini,servizi,cura,0.005
Lazio,2022,bambini,servizi,cura,-0.827
Liguria,2022,bambini,servizi,cura,0.972
Lombardia,2022,bambini,servizi,cura,-0.411
Marche,2022,bambini,servizi,cura,-0.126
Molise,2022,bambini,servizi,cura,0.127
Piemonte,2022,bambini,servizi,cura,0.674
Puglia,2022,bambini,servizi,cura,-0.326
Sardegna,2022,bambini,servizi,cura,0.232
Sicilia,2022,bambini,servizi,cura,-0.172
Toscana,2022,bambini,servizi,cura,0.223
Trentino-Alto Adige/Südtirol,2022,bambini,servizi,cura,-0.15
Umbria,2022,bambini,servizi,cura,0.481
Valle d'Aosta/Vallée d'Aoste,2022,bambini,servizi,cura,0.425
Veneto,2022,bambini,servizi,cura,0.221
Abruzzo,2022,bambini,servizi,vita_sana,0.136
Basilicata,2022,bambini,servizi,vita_sana,-0.39
Calabria,2022,bambini,servizi,vita_sana,-0.19
Campania,2022,bambini,servizi,vita_sana,-0.719
Emilia-Romagna,2022,bambini,servizi,vita_sana,0.675
Friuli-Venezia Giulia,2022,bambini,servizi,vita_sana,-0.991
Lazio,2022,bambini,servizi,vita_sana,0.091
Liguria,2022,bambini,servizi,vita_sana,0.014
Lombardia,2022,bambini,servizi,vita_sana,-0.921
Marche,2022,bambini,servizi,vita_sana,-0.237
Molise,2022,bambini,servizi,vita_sana,-0.24
Piemonte,2022,bambini,servizi,vita_sana,-1.018
Puglia,2022,bambini,servizi,vita_sana,0.313
Sardegna,2022,bambini,servizi,vita_sana,1.112
Sicilia,2022,bambini,servizi,vita_sana,0.191
Toscana,2022,bambini,servizi,vita_sana,1.233
Trentino-Alto Adige/Südtirol,2022,bambini,servizi,vita_sana,-0.514
Umbria,2022,bambini,servizi,vita_sana,0.372
Valle d'Aosta/Vallée d'Aoste,2022,bambini,servizi,vita_sana,1.552
Veneto,2022,bambini,servizi,vita_sana,-0.47
Abruzzo,2022,totale,servizi,totale,-0.097
Basilicata,2022,totale,servizi,totale,-0.152
Calabria,2022,totale,servizi,totale,-0.816
Campania,2022,totale,servizi,totale,-0.859
Emilia-Romagna,2022,totale,servizi,totale,0.856
Friuli-Venezia Giulia,2022,totale,servizi,totale,0.204
Lazio,2022,totale,servizi,totale,-0.364
Liguria,2022,totale,servizi,totale,0.307
Lombardia,2022,totale,servizi,totale,-0.233
Marche,2022,totale,servizi,totale,-0.09
Molise,2022,totale,servizi,totale,-0.092
Piemonte,2022,totale,servizi,totale,0.214
Puglia,2022,totale,servizi,totale,-0.23
Sardegna,2022,totale,servizi,totale,0.29
Sicilia,2022,totale,servizi,totale,-0.663
Toscana,2022,totale,servizi,totale,0.373
Trentino-Alto Adige/Südtirol,2022,totale,servizi,totale,0.321
Umbria,2022,totale,servizi,totale,0.311
Valle d'Aosta/Vallée d'Aoste,2022,totale,servizi,totale,0.302
Veneto,2022,totale,servizi,totale,0.474
Abruzzo,2022,totale,totale,totale,-0.13
Basilicata,2022,totale,totale,totale,-0.175
Calabria,2022,totale,totale,totale,-0.774
Campania,2022,totale,totale,totale,-1.09
Emilia-Romagna,2022,totale,totale,totale,0.711
Friuli-Venezia Giulia,2022,totale,totale,totale,0.535
Lazio,2022,totale,totale,totale,-0.129
Liguria,2022,totale,totale,totale,0.322
Lombardia,2022,totale,totale,totale,0.106
Marche,2022,totale,totale,totale,0.041
Molise,2022,totale,totale,totale,-0.253
Piemonte,2022,totale,totale,totale,0.238
Puglia,2022,totale,totale,totale,-0.527
Sardegna,2022,totale,totale,totale,-0.006
Sicilia,2022,totale,totale,totale,-0.957
Toscana,2022,totale,totale,totale,0.336
Trentino-Alto Adige/Südtirol,2022,totale,totale,totale,0.703
Umbria,2022,totale,totale,totale,0.279
Valle d'Aosta/Vallée d'Aoste,2022,totale,totale,totale,0.304
Veneto,2022,totale,totale,totale,0.575
Abruzzo,2024,adulti,rischio,accedere_risorse,-0.149
Basilicata,2024,adulti,rischio,accedere_risorse,0.089
Calabria,2024,adulti,rischio,accedere_risorse,-0.895
Campania,2024,adulti,rischio,accedere_risorse,-1.375
Emilia-Romagna,2024,adulti,rischio,accedere_risorse,0.75
Friuli-Venezia Giulia,2024,adulti,rischio,accedere_risorse,0.327
Lazio,2024,adulti,rischio,accedere_risorse,-0.344
Liguria,2024,adulti,rischio,accedere_risorse,0.538
Lombardia,2024,adulti,rischio,accedere_risorse,0.43
Marche,2024,adulti,rischio,accedere_risorse,0.587
Molise,2024,adulti,rischio,accedere_risorse,-0.259
Piemonte,2024,adulti,rischio,accedere_risorse,-0.026
Puglia,2024,adulti,rischio,accedere_risorse,-0.662
Sardegna,2024,adulti,rischio,accedere_risorse,-0.705
Sicilia,2024,adulti,rischio,accedere_risorse,-1.231
Toscana,2024,adulti,rischio,accedere_risorse,0.55
Trentino-Alto Adige/Südtirol,2024,adulti,rischio,accedere_risorse,0.383
Umbria,2024,adulti,rischio,accedere_risorse,0.58
Valle d'Aosta/Vallée d'Aoste,2024,adulti,rischio,accedere_risorse,0.726
Veneto,2024,adulti,rischio,accedere_risorse,0.689
Abruzzo,2024,adulti,rischio,conoscenza_sapere,0.334
Basilicata,2024,adulti,rischio,conoscenza_sapere,-0.126
Calabria,2024,adulti,rischio,conoscenza_sapere,-1.724
Campania,2024,adulti,rischio,conoscenza_sapere,-1.572
Emilia-Romagna,2024,adulti,rischio,conoscenza_sapere,1.168
Friuli-Venezia Giulia,2024,adulti,rischio,conoscenza_sapere,0.965
Lazio,2024,adulti,rischio,conoscenza_sapere,1.01
Liguria,2024,adulti,rischio,conoscenza_sapere,0.061
Lombardia,2024,adulti,rischio,conoscenza_sapere,0.643
Marche,2024,adulti,rischio,conoscenza_sapere,0.636
Molise,2024,adulti,rischio,conoscenza_sapere,0.074
Piemonte,2024,adulti,rischio,conoscenza_sapere,-0.182
Puglia,2024,adulti,rischio,conoscenza_sapere,-1.613
Sardegna,2024,adulti,rischio,conoscenza_sapere,-0.501
Sicilia,2024,adulti,rischio,conoscenza_sapere,-1.863
Toscana,2024,adulti,rischio,conoscenza_sapere,0.307
Trentino-Alto Adige/Südtirol,2024,adulti,rischio,conoscenza_sapere,0.742
Umbria,2024,adulti,rischio,conoscenza_sapere,0.349
Valle d'Aosta/Vallée d'Aoste,2024,adulti,rischio,conoscenza_sapere,0.842
Veneto,2024,adulti,rischio,conoscenza_sapere,0.451
Abruzzo,2024,adulti,rischio,cura,-0.556
Basilicata,2024,adulti,rischio,cura,0.022
Calabria,2024,adulti,rischio,cura,-0.486
Campania,2024,adulti,rischio,cura,-1.823
Emilia-Romagna,2024,adulti,rischio,cura,0.394
Friuli-Venezia Giulia,2024,adulti,rischio,cura,0.43
Lazio,2024,adulti,rischio,cura,-0.224
Liguria,2024,adulti,rischio,cura,0.415
Lombardia,2024,adulti,rischio,cura,0.642
Marche,2024,adulti,rischio,cura,0.044
Molise,2024,adulti,rischio,cura,-0.238
Piemonte,2024,adulti,rischio,cura,0.513
Puglia,2024,adulti,rischio,cura,-0.845
Sardegna,2024,adulti,rischio,cura,0.166
Sicilia,2024,adulti,rischio,cura,-1.266
Toscana,2024,adulti,rischio,cura,0.188
Trentino-Alto Adige/Südtirol,2024,adulti,rischio,cura,0.895
Umbria,2024,adulti,rischio,cura,0.273
Valle d'Aosta/Vallée d'Aoste,2024,adulti,rischio,cura,0.191
Veneto,2024,adulti,rischio,cura,0.426
Abruzzo,2024,adulti,rischio,lavorare,-0.055
Basilicata,2024,adulti,rischio,lavorare,-0.283
Calabria,2024,adulti,rischio,lavorare,-1.582
Campania,2024,adulti,rischio,lavorare,-1.737
Emilia-Romagna,2024,adulti,rischio,lavorare,0.685
Friuli-Venezia Giulia,2024,adulti,rischio,lavorare,0.71
Lazio,2024,adulti,rischio,lavorare,-0.146
Liguria,2024,adulti,rischio,lavorare,0.395
Lombardia,2024,adulti,rischio,lavorare,0.711
Marche,2024,adulti,rischio,lavorare,0.544
Molise,2024,adulti,rischio,lavorare,-0.529
Piemonte,2024,adulti,rischio,lavorare,0.377
Puglia,2024,adulti,rischio,lavorare,-0.86
Sardegna,2024,adulti,rischio,lavorare,-0.747
Sicilia,2024,adulti,rischio,lavorare,-1.941
Toscana,2024,adulti,rischio,lavorare,0.634
Trentino-Alto Adige/Südtirol,2024,adulti,rischio,lavorare,1.441
Umbria,2024,adulti,rischio,lavorare,0.586
Valle d'Aosta/Vallée d'Aoste,2024,adulti,rischio,lavorare,0.892
Veneto,2024,adulti,rischio,lavorare,0.905
Abruzzo,2024,adulti,rischio,vita_sana,0.131
Basilicata,2024,adulti,rischio,vita_sana,0.014
Calabria,2024,adulti,rischio,vita_sana,0.106
Campania,2024,adulti,rischio,vita_sana,-0.285
Emilia-Romagna,2024,adulti,rischio,vita_sana,0.151
Friuli-Venezia Giulia,2024,adulti,rischio,vita_sana,-0.086
Lazio,2024,adulti,rischio,vita_sana,0.578
Liguria,2024,adulti,rischio,vita_sana,-0.131
Lombardia,2024,adulti,rischio,vita_sana,0.381
Marche,2024,adulti,rischio,vita_sana,-1.311
Molise,2024,adulti,rischio,vita_sana,0.63
Piemonte,2024,adulti,rischio,vita_sana,-0.558
Puglia,2024,adulti,rischio,vita_sana,0.156
Sardegna,2024,adulti,rischio,vita_sana,-0.146
Sicilia,2024,adulti,rischio,vita_sana,0.197
Toscana,2024,adulti,rischio,vita_sana,-0.257
Trentino-Alto Adige/Südtirol,2024,adulti,rischio,vita_sana,1.194
Umbria,2024,adulti,rischio,vita_sana,-0.083
Valle d'Aosta/Vallée d'Aoste,2024,adulti,rischio,vita_sana,-0.807
Veneto,2024,adulti,rischio,vita_sana,0.125
Abruzzo,2024,adulti,rischio,vita_sicura,-0.311
Basilicata,2024,adulti,rischio,vita_sicura,-0.248
Calabria,2024,adulti,rischio,vita_sicura,-0.038
Campania,2024,adulti,rischio,vita_sicura,-1.398
Emilia-Romagna,2024,adulti,rischio,vita_sicura,0.185
Friuli-Venezia Giulia,2024,adulti,rischio,vita_sicura,0.808
Lazio,2024,adulti,rischio,vita_sicura,-0.494
Liguria,2024,adulti,rischio,vita_sicura,0.441
Lombardia,2024,adulti,rischio,vita_sicura,0.2
Marche,2024,adulti,rischio,vita_sicura,0.068
Molise,2024,adulti,rischio,vita_sicura,-0.473
Piemonte,2024,adulti,rischio,vita_sicura,0.317
Puglia,2024,adulti,rischio,vita_sicura,-0.933
Sardegna,2024,adulti,rischio,vita_sicura,0.184
Sicilia,2024,adulti,rischio,vita_sicura,-0.327
Toscana,2024,adulti,rischio,vita_sicura,0.047
Trentino-Alto Adige/Südtirol,2024,adulti,rischio,vita_sicura,1.333
Umbria,2024,adulti,rischio,vita_sicura,0.446
Valle d'Aosta/Vallée d'Aoste,2024,adulti,rischio,vita_sicura,-0.1
Veneto,2024,adulti,rischio,vita_sicura,0.293
Abruzzo,2024,bambini,rischio,vita_sana,-0.593
Basilicata,2024,bambini,rischio,vita_sana,-0.623
Calabria,2024,bambini,rischio,vita_sana,0.047
Campania,2024,bambini,rischio,vita_sana,-0.462
Emilia-Romagna,2024,bambini,rischio,vita_sana,0.444
Friuli-Venezia Giulia,2024,bambini,rischio,vita_sana,0.965
Lazio,2024,bambini,rischio,vita_sana,0.421
Liguria,2024,bambini,rischio,vita_sana,0.02
Lombardia,2024,bambini,rischio,vita_sana,0.311
Marche,2024,bambini,rischio,vita_sana,0.592
Molise,2024,bambini,rischio,vita_sana,-0.852
Piemonte,2024,bambini,rischio,vita_sana,0.34
Puglia,2024,bambini,rischio,vita_sana,-0.931
Sardegna,2024,bambini,rischio,vita_sana,-0.661
Sicilia,2024,bambini,rischio,vita_sana,-1.207
Toscana,2024,bambini,rischio,vita_sana,0.638
Trentino-Alto Adige/Südtirol,2024,bambini,rischio,vita_sana,0.885
Umbria,2024,bambini,rischio,vita_sana,-0.001
Valle d'Aosta/Vallée d'Aoste,2024,bambini,rischio,vita_sana,0.455
Veneto,2024,bambini,rischio,vita_sana,0.21
Abruzzo,2024,totale,rischio,totale,-0.171
Basilicata,2024,totale,rischio,totale,-0.165
Calabria,2024,totale,rischio,totale,-0.653
Campania,2024,totale,rischio,totale,-1.236
Emilia-Romagna,2024,totale,rischio,totale,0.54
Friuli-Venezia Giulia,2024,totale,rischio,totale,0.588
Lazio,2024,totale,rischio,totale,0.114
Liguria,2024,totale,rischio,totale,0.248
Lombardia,2024,totale,rischio,totale,0.474
Marche,2024,totale,rischio,totale,0.166
Molise,2024,totale,rischio,totale,-0.235
Piemonte,2024,totale,rischio,totale,0.112
Puglia,2024,totale,rischio,totale,-0.813
Sardegna,2024,totale,rischio,totale,-0.344
Sicilia,2024,totale,rischio,totale,-1.091
Toscana,2024,totale,rischio,totale,0.301
Trentino-Alto Adige/Südtirol,2024,totale,rischio,totale,0.982
Umbria,2024,totale,rischio,totale,0.307
Valle d'Aosta/Vallée d'Aoste,2024,totale,rischio,totale,0.314
Veneto,2024,totale,rischio,totale,0.443
Abruzzo,2024,adulti,servizi,accedere_risorse,-0.624
Basilicata,2024,adulti,servizi,accedere_risorse,-0.488
Calabria,2024,adulti,servizi,accedere_risorse,-0.483
Campania,2024,adulti,servizi,accedere_risorse,-0.532
Emilia-Romagna,2024,adulti,servizi,accedere_risorse,2.949
Friuli-Venezia Giulia,2024,adulti,servizi,accedere_risorse,0.347
Lazio,2024,adulti,servizi,accedere_risorse,-0.195
Liguria,2024,adulti,servizi,accedere_risorse,-0.41
Lombardia,2024,adulti,servizi,accedere_risorse,-0.308
Marche,2024,adulti,servizi,accedere_risorse,0.044
Molise,2024,adulti,servizi,accedere_risorse,-0.414
Piemonte,2024,adulti,servizi,accedere_risorse,-0.29
Puglia,2024,adulti,servizi,accedere_risorse,-0.507
Sardegna,2024,adulti,servizi,accedere_risorse,-0.192
Sicilia,2024,adulti,servizi,accedere_risorse,-0.571
Toscana,2024,adulti,servizi,accedere_risorse,0.101
Trentino-Alto Adige/Südtirol,2024,adulti,servizi,accedere_risorse,2.138
Umbria,2024,adulti,servizi,accedere_risorse,-0.334
Valle d'Aosta/Vallée d'Aoste,2024,adulti,servizi,accedere_risorse,-0.429
Veneto,2024,adulti,servizi,accedere_risorse,0.199
Abruzzo,2024,adulti,servizi,conoscenza_sapere,0.965
Basilicata,2024,adulti,servizi,conoscenza_sapere,0.948
Calabria,2024,adulti,servizi,conoscenza_sapere,0.269
Campania,2024,adulti,servizi,conoscenza_sapere,-1.122
Emilia-Romagna,2024,adulti,servizi,conoscenza_sapere,-0.751
Friuli-Venezia Giulia,2024,adulti,servizi,conoscenza_sapere,-0.086
Lazio,2024,adulti,servizi,conoscenza_sapere,0.638
Liguria,2024,adulti,servizi,conoscenza_sapere,-0.24
Lombardia,2024,adulti,servizi,conoscenza_sapere,-1.153
Marche,2024,adulti,servizi,conoscenza_sapere,0.783
Molise,2024,adulti,servizi,conoscenza_sapere,1.066
Piemonte,2024,adulti,servizi,conoscenza_sapere,-0.662
Puglia,2024,adulti,servizi,conoscenza_sapere,-1.797
Sardegna,2024,adulti,servizi,conoscenza_sapere,0.967
Sicilia,2024,adulti,servizi,conoscenza_sapere,-1.584
Toscana,2024,adulti,servizi,conoscenza_sapere,1.4
Trentino-Alto Adige/Südtirol,2024,adulti,servizi,conoscenza_sapere,1.429
Umbria,2024,adulti,servizi,conoscenza_sapere,-0.252
Valle d'Aosta/Vallée d'Aoste,2024,adulti,servizi,conoscenza_sapere,0.369
Veneto,2024,adulti,servizi,conoscenza_sapere,-1.189
Abruzzo,2024,adulti,servizi,cura,0.048
Basilicata,2024,adulti,servizi,cura,0.181
Calabria,2024,adulti,servizi,cura,-0.739
Campania,2024,adulti,servizi,cura,-1.018
Emilia-Romagna,2024,adulti,servizi,cura,1.696
Friuli-Venezia Giulia,2024,adulti,servizi,cura,-0.142
Lazio,2024,adulti,servizi,cura,-0.208
Liguria,2024,adulti,servizi,cura,0.077
Lombardia,2024,adulti,servizi,cura,0.115
Marche,2024,adulti,servizi,cura,-0.477
Molise,2024,adulti,servizi,cura,-0.84
Piemonte,2024,adulti,servizi,cura,0.081
Puglia,2024,adulti,servizi,cura,0.049
Sardegna,2024,adulti,servizi,cura,0.362
Sicilia,2024,adulti,servizi,cura,-0.123
Toscana,2024,adulti,servizi,cura,-0.036
Trentino-Alto Adige/Südtirol,2024,adulti,servizi,cura,-0.086
Umbria,2024,adulti,servizi,cura,0.484
Valle d'Aosta/Vallée d'Aoste,2024,adulti,servizi,cura,0.445
Veneto,2024,adulti,servizi,cura,0.364
Abruzzo,2024,adulti,servizi,lavorare,-0.424
Basilicata,2024,adulti,servizi,lavorare,-0.516
Calabria,2024,adulti,servizi,lavorare,-0.639
Campania,2024,adulti,servizi,lavorare,-0.595
Emilia-Romagna,2024,adulti,servizi,lavorare,0.08
Friuli-Venezia Giulia,2024,adulti,servizi,lavorare,1.112
Lazio,2024,adulti,servizi,lavorare,-0.508
Liguria,2024,adulti,servizi,lavorare,0.235
Lombardia,2024,adulti,servizi,lavorare,0.086
Marche,2024,adulti,servizi,lavorare,-0.155
Molise,2024,adulti,servizi,lavorare,-0.315
Piemonte,2024,adulti,servizi,lavorare,0.032
Puglia,2024,adulti,servizi,lavorare,-0.407
Sardegna,2024,adulti,servizi,lavorare,-0.37
Sicilia,2024,adulti,servizi,lavorare,-0.346
Toscana,2024,adulti,servizi,lavorare,-0.197
Trentino-Alto Adige/Südtirol,2024,adulti,servizi,lavorare,-0.445
Umbria,2024,adulti,servizi,lavorare,-0.579
Valle d'Aosta/Vallée d'Aoste,2024,adulti,servizi,lavorare,0.0
Veneto,2024,adulti,servizi,lavorare,3.949
Abruzzo,2024,adulti,servizi,vita_sana,-0.321
Basilicata,2024,adulti,servizi,vita_sana,-0.15
Calabria,2024,adulti,servizi,vita_sana,-0.812
Campania,2024,adulti,servizi,vita_sana,-1.19
Emilia-Romagna,2024,adulti,servizi,vita_sana,-0.018
Friuli-Venezia Giulia,2024,adulti,servizi,vita_sana,-0.66
Lazio,2024,adulti,servizi,vita_sana,-0.521
Liguria,2024,adulti,servizi,vita_sana,1.267
Lombardia,2024,adulti,servizi,vita_sana,-0.03
Marche,2024,adulti,servizi,vita_sana,0.682
Molise,2024,adulti,servizi,vita_sana,-0.036
Piemonte,2024,adulti,servizi,vita_sana,0.443
Puglia,2024,adulti,servizi,vita_sana,-0.388
Sardegna,2024,adulti,servizi,vita_sana,-0.267
Sicilia,2024,adulti,servizi,vita_sana,-0.707
Toscana,2024,adulti,servizi,vita_sana,0.413
Trentino-Alto Adige/Südtirol,2024,adulti,servizi,vita_sana,0.085
Umbria,2024,adulti,servizi,vita_sana,0.331
Valle d'Aosta/Vallée d'Aoste,2024,adulti,servizi,vita_sana,1.105
Veneto,2024,adulti,servizi,vita_sana,0.774
Abruzzo,2024,adulti,servizi,vita_sicura,0.242
Basilicata,2024,adulti,servizi,vita_sicura,-0.678
Calabria,2024,adulti,servizi,vita_sicura,0.574
Campania,2024,adulti,servizi,vita_sicura,-0.624
Emilia-Romagna,2024,adulti,servizi,vita_sicura,0.714
Friuli-Venezia Giulia,2024,adulti,servizi,vita_sicura,0.262
Lazio,2024,adulti,servizi,vita_sicura,-1.176
Liguria,2024,adulti,servizi,vita_sicura,-0.204
Lombardia,2024,adulti,servizi,vita_sicura,0.613
Marche,2024,adulti,servizi,vita_sicura,0.311
Molise,2024,adulti,servizi,vita_sicura,0.192
Piemonte,2024,adulti,servizi,vita_sicura,-0.874
Puglia,2024,adulti,servizi,vita_sicura,-0.312
Sardegna,2024,adulti,servizi,vita_sicura,0.148
Sicilia,2024,adulti,servizi,vita_sicura,-0.556
Toscana,2024,adulti,servizi,vita_sicura,-0.234
Trentino-Alto Adige/Südtirol,2024,adulti,servizi,vita_sicura,-0.445
Umbria,2024,adulti,servizi,vita_sicura,1.574
Valle d'Aosta/Vallée d'Aoste,2024,adulti,servizi,vita_sicura,0.298
Veneto,2024,adulti,servizi,vita_sicura,0.176
Abruzzo,2024,bambini,servizi,cura,-0.546
Basilicata,2024,bambini,servizi,cura,0.209
Calabria,2024,bambini,servizi,cura,-0.679
Campania,2024,bambini,servizi,cura,-0.855
Emilia-Romagna,2024,bambini,servizi,cura,0.744
Friuli-Venezia Giulia,2024,bambini,servizi,cura,0.005
Lazio,2024,bambini,servizi,cura,-0.662
Liguria,2024,bambini,servizi,cura,0.705
Lombardia,2024,bambini,servizi,cura,-0.42
Marche,2024,bambini,servizi,cura,0.022
Molise,2024,bambini,servizi,cura,-0.014
Piemonte,2024,bambini,servizi,cura,0.713
Puglia,2024,bambini,servizi,cura,-0.516
Sardegna,2024,bambini,servizi,cura,0.264
Sicilia,2024,bambini,servizi,cura,-0.268
Toscana,2024,bambini,servizi,cura,0.317
Trentino-Alto Adige/Südtirol,2024,bambini,servizi,cura,-0.292
Umbria,2024,bambini,servizi,cura,0.943
Valle d'Aosta/Vallée d'Aoste,2024,bambini,servizi,cura,0.333
Veneto,2024,bambini,servizi,cura,-0.002
Abruzzo,2024,bambini,servizi,vita_sana,-0.049
Basilicata,2024,bambini,servizi,vita_sana,-0.145
Calabria,2024,bambini,servizi,vita_sana,-0.868
Campania,2024,bambini,servizi,vita_sana,-0.584
Emilia-Romagna,2024,bambini,servizi,vita_sana,0.802
